StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
118754,1765332,NQPCK4-BF122A-2022,NQPCK4,Y,N,720,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,14,2022-08-29 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Multiple,No,No,Scottish,1637,Male,Prefer not to say,Scotland,Christian: Other,Heterosexual/straight,1,0
118811,1765389,NQPCK4-BF123A-2023,NQPCK4,Y,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,6,2023-08-28 00:00:00,N,Winter leaver,Fee waiver – full-time non-advanced,No,No known disability,Yes,No,Scottish,4695,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0,0
118879,1865457,HDTTP-BF221A-2021,HDTTP,Y,N,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,-15,2021-08-30 00:00:00,Y,Full-time college based not included above,Self-financing student,No,No known disability,No,No,Scottish,1062,Male,Other,Scotland,None,Heterosexual/straight,1,0
118933,1765511,VQHAI2-BF122A-2022,VQHAI2,Y,N,720,40,2,18,FT,FE,Other vocational programme – other,Kirkcaldy,21,2022-09-01 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Specific learning difficulty,Yes,No,Scottish,642,Female,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,1,1
119284,1765862,NQPCK4-BF121A-2021,NQPCK4,Y,N,640,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,11,2021-08-30 00:00:00,Y,Winter leaver,Fee waiver – full-time non-advanced,No,Specific learning difficulty,No,No,Scottish,1030,Female,Prefer not to say,Scotland,Prefer not to say,Gay woman/lesbian,0.7857,1
119308,1765886,NCEIP5-SF123A-2023,NCEIP5,Y,Y,680,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,-1,2023-08-28 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,5106,Male,Prefer not to say,Scotland,Muslim,Heterosexual/straight,1,1
119626,1766204,NCEEC6-HF122A-2022,NCEEC6,Y,N,840,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,14,2022-08-29 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,702,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,1
119635,1766213,HCFHE-BF121B-2021,HCFHE,Y,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,35,2021-08-30 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3226,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,1,0
119645,1766223,NCEEC6-SF122B-2022,NCEEC6,Y,N,840,40,1,21,FT,FE,Other vocational programme – other,Glenrothes,33,2022-08-29 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2913,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0.8,1
119741,1866320,NCEEC6-HF121A-2021,NCEEC6,Y,N,840,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,25,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,4678,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.8571,1
119809,1766393,NCEEC6-SF123A-2023,NCEEC6,Y,N,840,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,14,2023-08-28 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2438,Female,Prefer not to say,Scotland,None,Prefer not to say,1,0
119890,1766475,NCEEC6-SF121A-2021,NCEEC6,Y,N,840,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,14,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,4390,Female,Prefer not to say,Scotland,Prefer not to say,Prefer not to say,0.4,0
119924,1766509,VQHAI2-HF122A-2022,VQHAI2,Y,N,720,40,2,18,FT,FE,Other vocational programme – other,Dunfermline,19,2022-08-29 00:00:00,N,Winter leaver,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,3100,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,1,0
120182,1766767,HCCHP-SF121A-2021,HCCHP,Y,N,720,36,1,0,FT,HE,Other vocational programme – other,Glenrothes,49,2021-08-30 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,845,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,0.8333,0
120189,1766774,NCEEC6-SF121A-2021,NCEEC6,Y,N,840,36,1,0,FT,FE,Other vocational programme – other,Glenrothes,45,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,Yes,No,Any other background,2973,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
120221,1766806,HCHCP-SF122B-2022,HCHCP,Y,N,640,40,1,16,FT,HE,Other vocational programme – other,Glenrothes,40,2022-08-29 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Multiple(+MH),Yes,No,Scottish,987,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,1
120272,1866859,HDASNM-HF222A-2022,HDASNM,Y,N,544,36,2,0,FT,HE,Other vocational programme – other,Dunfermline,41,2022-08-31 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3449,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,1
