StudentID,IdNumber,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Withdrawn
2279,0512933,VQSSH3,N,N,200,36,1,0,PT,FE,Other vocational programme – other,Kirkcaldy,-17,28/08/2023 00:00,N,Permanent or temporary employment,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3259,Female,Other,Scotland,None,Heterosexual/straight,0
2333,0513035,VQSSH2,N,N,240,36,2,0,PT,FE,Other vocational programme – other,Dunfermline,-259,28/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,2318,Female,Other,Scotland,None,Heterosexual/straight,0
2406,0513159,ONAAC3,N,N,90,40,1,2,PT,FE,Other vocational programme – for students with learning difficulties,Levenmouth,-48,25/10/2023 00:00,N,Not registered unemployed but not working,Fee waiver – student on a DPG 18 / PG 5 programme,No,Multiple,No,No,Scottish,4287,Female,Other,Scotland,None,Heterosexual/straight,0
2463,0513313,VQSSH2,N,N,223,36,2,6,PT,FE,Other vocational programme – other,Dunfermline,-176,28/08/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,2497,Male,Other,Scotland,None,Heterosexual/straight,0
2518,0513426,MAELE6,N,Y,40,40,4,1,PT,FE,Other vocational programme – other,Rosyth,0,02/08/2023 00:00,N,Student on YT/Skillseekers/New Deal/Modern Apprenticeship,"Government Training Credit e.g. Skillseeker, Modern Apprenticeship",No,No known disability,No,No,Scottish,1745,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
2547,0513564,HDQUS,N,N,600,36,2,15,FT,HE,Other vocational programme – other,Glenrothes,14,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,British,3908,Male,Prefer not to say,Scotland,Christian: Protestant,Heterosexual/straight,0
2563,0513608,VQSSCY,N,N,220,40,2,0,PT,FE,Other vocational programme – other,Kirkcaldy,-26,09/09/2023 00:00,N,Permanent or temporary employment,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1772,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0
2599,0513742,HCACC,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Dunfermline,13,28/08/2023 00:00,N,Full-time college based not included above,Self-financing student,No,No known disability,No,No,British,442,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1
2599,0513742,HCCOM,N,Y,240,34,2,0,PT,HE,Other vocational programme – other,Dunfermline,14,29/08/2023 00:00,N,Permanent or temporary employment,Universal Credit (UC),No,No known disability,No,No,British,442,Male,Prefer not to say,Scotland,None,Heterosexual/straight,1
2815,0514465,ACACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Levenmouth,-21,28/08/2023 00:00,N,Student on Scottish wider access programme (SWAP),Fee waiver – full-time non-advanced,No,Mental Health Condition,No,No,Scottish,907,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1
