EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,EnrolledOnDate,AnnualStartDate,AnnualEndDate,HasChildcareFund,HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Confirmed,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,SIMD_Rank,PI_1
1215086,146442,BE1A,2021,18,30,16,2021-08-16 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,3,09,36,160,Y,01,05,N,1,584,Completed: Successful
1217480,127585,BE1A,2021,19,17,16,2021-08-30 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,Y,N,N,M,10,02,1,1,0,1,4,09,34,80,Y,01,07,N,6,6300,Completed: Partial Success
1229799,175309,BE1A,2021,19,21,16,2021-10-22 00:00:00,2021-10-25 00:00:00,2022-04-25 00:00:00,0,0,N,Y,N,M,10,01,1,1,8,1,4,09,22,160,Y,01,05,N,1,187,Completed: Successful
1236363,158932,BE1A,2021,19,21,17,2021-11-08 00:00:00,2021-10-25 00:00:00,2022-04-25 00:00:00,0,0,N,Y,N,F,10,09,1,1,8,1,3,09,22,160,Y,01,05,N,1,1772,Early Withdrawal
1217182,77789,BE1A,2021,19,30,17,2021-08-26 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,02,1,1,0,1,4,09,36,160,Y,11,05,N,1,6704,Further Withdrawal
1207552,136959,BE1A,2021,20,30,18,2021-07-15 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,10,01,1,1,0,1,4,09,36,160,Y,01,05,N,1,3280,Completed: Successful
1208983,85546,BE1A,2021,20,30,18,2021-07-19 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,1,4,09,36,160,Y,11,05,N,4,5106,Early Withdrawal
1211380,93564,BE1A,2021,20,67,17,2021-07-23 00:00:00,2021-09-15 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,10,01,1,1,0,1,3,09,33,120,Y,01,06,N,6,2257,Completed: Successful
1229282,91914,BE1A,2021,21,21,19,2021-10-20 00:00:00,2021-10-25 00:00:00,2022-04-25 00:00:00,0,0,N,Y,N,F,10,01,1,1,8,1,4,09,22,160,Y,01,05,N,1,148,Completed: Partial Success
1213127,170481,BE1A,2021,21,30,18,2021-08-02 00:00:00,2021-08-23 00:00:00,2022-06-11 00:00:00,0,0,N,Y,N,M,33,01,1,1,0,1,4,09,36,160,Y,03,05,N,1,1106,Completed: Successful
1212859,151163,BE1A,2021,22,17,20,2021-07-30 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,Y,N,N,F,10,02,1,1,0,1,4,09,34,80,Y,01,07,N,6,6796,Completed: Successful
1229267,83281,BE1A,2021,22,21,20,2021-10-20 00:00:00,2021-10-25 00:00:00,2022-04-25 00:00:00,0,0,N,Y,N,F,10,01,1,1,8,1,4,09,22,160,Y,11,05,N,1,1880,Completed: Partial Success
